WS_ms,rotorD_160m,rotorD_180m,rotorD_190m,rotorD_200m
0,0,0,0,0
0.5,0,0,0,0
1,0,0,0,0
1.5,500,550,605,665.5
2,1200,1320,1452,1597.2
2.5,1750,1925,2117.5,2329.25
3,2800,3080,3388,3726.8
3.5,4300,4730,5203,5723.3
4,5200,5720,6292,6921.2
4.5,6200,6820,7502,8252.2
5,7300,8030,8833,9716.3
5.5,8200,9020,9922,10914.2
6,8300,9130,10043,11047.3
6.5,8440,9284,10212.4,11233.64
7,8490,9339,10272.9,11300.19
7.5,8500,9350,10285,11313.5
8,8500,9350,10285,11313.5
8.5,8500,9350,10285,11313.5
9,8500,9350,10285,11313.5
9.5,8500,9350,10285,11313.5
10,8500,9350,10285,11313.5
10.5,8500,9350,10285,11313.5
11,8500,9350,10285,11313.5
11.5,8500,9350,10285,11313.5
12,8500,9350,10285,11313.5
12.5,8500,9350,10285,11313.5
13,8500,9350,10285,11313.5
13.5,8500,9350,10285,11313.5
14,8500,9350,10285,11313.5
14.5,8500,9350,10285,11313.5
15,8500,9350,10285,11313.5
15.5,8500,9350,10285,11313.5
16,8500,9350,10285,11313.5
16.5,8500,9350,10285,11313.5
17,8500,9350,10285,11313.5
17.5,8500,9350,10285,11313.5
18,8500,9350,10285,11313.5
18.5,8500,9350,10285,11313.5
19,8500,9350,10285,11313.5
19.5,8500,9350,10285,11313.5
20,8500,9350,10285,11313.5
20.5,8500,9350,10285,11313.5
21,8500,9350,10285,11313.5
21.5,8500,9350,10285,11313.5
22,8500,9350,10285,11313.5
22.5,8500,9350,10285,11313.5
23,8500,9350,10285,11313.5
23.5,8500,9350,10285,11313.5
24,8500,9350,10285,11313.5
24.5,8500,9350,10285,11313.5
25,8500,9350,10285,11313.5
25.5,7000,7700,8470,9317
26,6500,7150,7865,8651.5
26.5,6000,6600,7260,7986
27,5500,6050,6655,7320.5
27.5,5000,5500,6050,6655
28,4500,4950,5445,5989.5
28.5,4000,4400,4840,5324
29,3500,3850,4235,4658.5
29.5,3000,3300,3630,3993
30,2500,2750,3025,3327.5
